,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,2004,1,1,18,,,281,,,250.0,10038.0,,,100.0,,,,41.0,,,,,8.0,-9999.0,,,,,0.0,
1,2004,1,2,6,,,265,,,250.0,10036.0,-9999.0,,,,15.0,,,,,8.0,-9999.0,,,,-1.0,,,,
2,2004,1,2,18,-9999.0,-9999.0,-9999,,,,30.0,,,,41.0,,,,,8.0,-9999.0,-9999.0,,,,,,,,
3,2004,1,3,6,,,266,,,250.0,10045.0,,,320.0,,,103.0,,,,,8.0,-9999.0,,,180.0,,,,
4,2004,1,4,8,,,284,,,250.0,10047.0,,,330.0,,,144.0,,,,,8.0,-9999.0,,,,,8.0,,
5,2004,1,4,18,,,273,,,250.0,10053.0,,,340.0,,,,93.0,,,,,8.0,-9999.0,,,,10.0,,
6,2004,1,5,6,,,282,,,260.0,10042.0,,,340.0,,,,82.0,,,,,8.0,-9999.0,-9999.0,,,,,
7,2004,1,6,6,,,280,,,250.0,10060.0,,,,20.0,,,,26.0,,,,,8.0,-9999.0,,,,30.0,
8,2004,1,6,18,,,281,,,250.0,10084.0,,,,30.0,,,,51.0,,,,,6.0,-9999.0,,,,,0.0
9,2004,1,7,0,,,312,,,250.0,10069.0,,,,50.0,,,,62.0,,,,,2.0,-9999.0,,,,,0.0
10,2004,1,7,6,,,280,,,240.0,10079.0,,,,40.0,,,,67.0,,,,,6.0,-9999.0,,,,,0.0
11,2004,1,7,18,,,276,,,250.0,10095.0,,,,60.0,,,,62.0,,,,,6.0,-9999.0,,,,,5.0
12,2004,1,8,6,,,278,,,240.0,10093.0,,,,60.0,,,,57.0,,,,,7.0,-9999.0,,,,,0.0
13,2004,1,9,18,,,271,,,240.0,10092.0,,,,50.0,,,,21.0,,,,,3.0,-9999.0,,,,,0.0
14,2004,1,11,6,,,283,,,240.0,10090.0,,,330.0,,,,21.0,,,,,8.0,-9999.0,,,,,0.0,
15,2004,1,12,6,,,278,,,250.0,10091.0,,,340.0,,,,41.0,,,,,8.0,-9999.0,,,,,0.0,
16,2004,1,12,18,,,278,,,240.0,10092.0,,,340.0,,,,26.0,,,,,8.0,-9999.0,,,,,0.0,
17,2004,1,13,6,,,283,,,250.0,10083.0,,,340.0,,,,31.0,,,,,7.0,-9999.0,,,,,0.0,
18,2004,1,14,6,,,282,,,250.0,10097.0,,,,20.0,,,,31.0,,,,,2.0,-9999.0,,,,,0.0
19,2004,1,14,18,,,281,,,250.0,10113.0,,,,30.0,,,,41.0,,,,,3.0,-9999.0,,,,,0.0
20,2004,1,15,6,,,280,,,240.0,10090.0,,,,50.0,,,,31.0,,,,,2.0,-9999.0,,,,,0.0
21,2004,1,16,18,,,278,,,250.0,10103.0,,,,80.0,,,,51.0,,,,,2.0,-9999.0,,,,,0.0
22,2004,1,17,6,,,284,,,240.0,10083.0,,,,90.0,,,,21.0,,,,,1.0,-9999.0,,,,,0.0
23,2004,1,17,18,,,279,,,260.0,10088.0,-9999.0,,,,15.0,,,,,6.0,-9999.0,,,,,0.0,,,
24,2004,1,18,6,,,283,,,240.0,10078.0,,,,50.0,,,,21.0,,,,,6.0,-9999.0,,,,,0.0
25,2004,1,19,6,,,276,,,240.0,10083.0,,,130.0,,,,51.0,,,,,3.0,-9999.0,,,,,0.0,
26,2004,1,19,18,,,283,,,250.0,10114.0,,,,90.0,,,,51.0,,,,,7.0,-9999.0,,,,20.0,
27,2004,1,20,6,,,287,,,250.0,10088.0,-9999.0,,,,10.0,,,,,6.0,-9999.0,,,,,0.0,,,
28,2004,1,20,18,,,284,,,260.0,10106.0,,,,60.0,,,,41.0,,,,,2.0,-9999.0,,,,,0.0
29,2004,1,21,6,,,288,,,260.0,10085.0,,,,40.0,,,,41.0,,,,,6.0,-9999.0,,,,,0.0
30,2004,1,21,18,,,284,,,260.0,10093.0,,,,50.0,,,,31.0,,,,,3.0,-9999.0,,,,,0.0
31,2004,1,22,6,,,286,,,250.0,10079.0,,,100.0,,,,41.0,,,,,5.0,-9999.0,,,,,0.0,
32,2004,1,22,18,,,286,,,250.0,10088.0,,,,90.0,,,,51.0,,,,,5.0,-9999.0,,,,,0.0
33,2004,1,23,6,,,286,,,250.0,10079.0,,,,80.0,,,,31.0,,,,,6.0,-9999.0,,,,,0.0
34,2004,1,24,6,,,287,,,250.0,10078.0,-9999.0,,,,10.0,,,,,6.0,-9999.0,,,,,0.0,,,
35,2004,1,24,18,,,283,,,260.0,10095.0,,,110.0,,,,26.0,,,,,7.0,-9999.0,-9999.0,,,,,
36,2004,1,25,6,,,283,,,260.0,10082.0,,,100.0,,,,31.0,,,,,7.0,-9999.0,,,,,5.0,
37,2004,1,26,6,,,267,,,240.0,10053.0,,,350.0,,,,57.0,,,,,8.0,-9999.0,,,,,8.0,
38,2004,1,27,6,,,270,,,250.0,10089.0,,,,30.0,,,,57.0,,,,,8.0,-9999.0,-9999.0,,,,
39,2004,1,27,18,,,276,,,250.0,10082.0,,,,40.0,,,,26.0,,,,,7.0,-9999.0,,,,,0.0
40,2004,1,28,6,,,283,,,250.0,10071.0,,,,50.0,,,,31.0,,,,,6.0,-9999.0,,,,,0.0
41,2004,1,28,18,,,281,,,250.0,10079.0,,,,30.0,,,,51.0,,,,,2.0,-9999.0,,,,,0.0
42,2004,1,29,6,,,285,,,250.0,10065.0,,,,80.0,,,,57.0,,,,,3.0,-9999.0,,,,,0.0
43,2004,1,29,18,,,278,,,250.0,10072.0,,,,80.0,,,,62.0,,,,,3.0,-9999.0,,,,,0.0
44,2004,1,30,6,,,284,,,240.0,10049.0,,,,80.0,,,,72.0,,,,,6.0,-9999.0,,,,,0.0
45,2004,1,31,6,,,284,,,240.0,10053.0,,,,80.0,,,,77.0,,,,,3.0,-9999.0,,,,,0.0
46,2004,2,2,6,,,283,,,240.0,10051.0,,,110.0,,,,72.0,,,,,3.0,-9999.0,,,,,0.0,
