,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,2006,1,1,5,,,296.0,,,202.0,10148.0,,,,90.0,,,,72,-9999.0,-9999.0,-9999.0
1,2006,1,1,8,,,279.0,,,210.0,10150.0,,,,80.0,,,,57,-9999.0,-9999.0,-9999.0
2,2006,1,1,11,,,268.0,,,216.0,10151.0,,,,60.0,,,,36,-9999.0,-9999.0,-9999.0
3,2006,1,1,14,,,266.0,,,217.0,10142.0,,,,60.0,,,,31,-9999.0,-9999.0,-9999.0
4,2006,1,1,17,,,241.0,,,217.0,10127.0,,,210.0,,,,26.0,-9999,-9999.0,-9999.0,
5,2006,1,1,20,,,237.0,,,219.0,10137.0,,,220.0,,,,21.0,-9999,-9999.0,-9999.0,
6,2006,1,1,23,,,291.0,,,205.0,10143.0,,,,30.0,,,,31,-9999.0,-9999.0,-9999.0
7,2006,1,2,2,,,307.0,,,205.0,10130.0,,,,50.0,,,,51,-9999.0,-9999.0,-9999.0
8,2006,1,2,5,,,307.0,,,212.0,10115.0,,,,50.0,,,,62,-9999.0,-9999.0,-9999.0
9,2006,1,2,8,,,286.0,,,210.0,10120.0,,,,40.0,,,,46,-9999.0,-9999.0,-9999.0
10,2006,1,2,11,,,273.0,,,219.0,10129.0,,,360.0,,,,36.0,-9999,-9999.0,-9999.0,
11,2006,1,2,14,,,266.0,,,226.0,10125.0,,,330.0,,,,15.0,-9999,-9999.0,-9999.0,
12,2006,1,2,20,,,236.0,,,220.0,10123.0,,,220.0,,,,21.0,-9999,-9999.0,-9999.0,
13,2006,1,2,23,,,291.0,,,184.0,10126.0,,,,40.0,,,,36,-9999.0,-9999.0,-9999.0
14,2006,1,3,2,,,315.0,,,193.0,10117.0,,,,60.0,,,,51,-9999.0,-9999.0,-9999.0
15,2006,1,3,5,,,312.0,,,188.0,10098.0,,,,40.0,,,,51,-9999.0,-9999.0,-9999.0
16,2006,1,3,8,,,290.0,,,199.0,10098.0,,,,20.0,,,,57,-9999.0,-9999.0,-9999.0
17,2006,1,3,11,,,271.0,,,219.0,10109.0,,,360.0,,,,31.0,-9999,-9999.0,-9999.0,
18,2006,1,3,14,,,266.0,,,228.0,10103.0,,,360.0,,,,26.0,-9999,-9999.0,-9999.0,
19,2006,1,3,17,,,257.0,,,229.0,10101.0,,,300.0,,,,15.0,-9999,-9999.0,-9999.0,
20,2006,1,3,20,,,250.0,,,225.0,10120.0,,,200.0,,,,21.0,-9999,-9999.0,-9999.0,
21,2006,1,3,23,,,292.0,,,209.0,10129.0,,,350.0,,,,31.0,-9999,-9999.0,-9999.0,
22,2006,1,4,2,,,316.0,,,211.0,10117.0,,,,70.0,,,,62,-9999.0,-9999.0,-9999.0
23,2006,1,4,5,,,318.0,,,203.0,10101.0,,,,60.0,,,,62,-9999.0,-9999.0,-9999.0
24,2006,1,4,8,,,292.0,,,201.0,10105.0,,,,30.0,,,,46,-9999.0,-9999.0,-9999.0
25,2006,1,4,11,,,272.0,,,211.0,10122.0,,,,10.0,,,,36,-9999.0,-9999.0,-9999.0
26,2006,1,4,14,,,270.0,,,211.0,10118.0,,,,10.0,,,,36,-9999.0,-9999.0,-9999.0
27,2006,1,4,23,,,307.0,,,212.0,10120.0,,,,10.0,,,,51,-9999.0,-9999.0,-9999.0
28,2006,1,5,2,,,327.0,,,210.0,10106.0,,,350.0,,,,57.0,-9999,-9999.0,-9999.0,
29,2006,1,5,5,,,311.0,,,203.0,10088.0,,,,40.0,,,,72,-9999.0,-9999.0,-9999.0
30,2006,1,5,8,,,297.0,,,212.0,10094.0,,,,20.0,,,,57,-9999.0,-9999.0,-9999.0
31,2006,1,5,11,,,280.0,,,222.0,10110.0,,,,10.0,,,,51,-9999.0,-9999.0,-9999.0
32,2006,1,5,14,,,279.0,,,224.0,10108.0,,,,10.0,,,,46,-9999.0,-9999.0,-9999.0
33,2006,1,5,17,,,273.0,,,224.0,10095.0,,,360.0,,,,31.0,-9999,-9999.0,-9999.0,
34,2006,1,5,20,,,276.0,,,225.0,10107.0,,,350.0,,,,41.0,-9999,-9999.0,-9999.0,
35,2006,1,5,23,,,307.0,,,210.0,10113.0,,,350.0,,,,51.0,-9999,-9999.0,-9999.0,
36,2006,1,6,2,,,333.0,,,213.0,10100.0,,,,10.0,,,,46,-9999.0,-9999.0,-9999.0
37,2006,1,6,5,,,327.0,,,225.0,10081.0,,,,30.0,,,,67,-9999.0,-9999.0,-9999.0
38,2006,1,6,8,,,300.0,,,219.0,10081.0,,,,30.0,,,,62,-9999.0,-9999.0,-9999.0
39,2006,1,6,11,,,286.0,,,227.0,10092.0,,,,10.0,,,,46,-9999.0,-9999.0,-9999.0
40,2006,1,6,14,,,281.0,,,235.0,10075.0,,,350.0,,,,51.0,-9999,-9999.0,-9999.0,
41,2006,1,6,17,,,278.0,,,233.0,10071.0,,,340.0,,,,51.0,-9999,-9999.0,-9999.0,
42,2006,1,6,20,,,276.0,,,234.0,10078.0,,,330.0,,,,26.0,-9999,-9999.0,-9999.0,
43,2006,1,6,23,,,308.0,,,221.0,10087.0,,,340.0,,,,62.0,-9999,-9999.0,-9999.0,
44,2006,1,7,2,,,321.0,,,242.0,10073.0,,,,40.0,,,,72,-9999.0,-9999.0,-9999.0
45,2006,1,7,5,,,322.0,,,225.0,10044.0,,,,30.0,,,,82,-9999.0,-9999.0,-9999.0
46,2006,1,7,8,,,296.0,,,242.0,10043.0,,,,20.0,,,,51,-9999.0,-9999.0,-9999.0
47,2006,1,7,14,,,231.0,,,213.0,10080.0,,,130.0,,,,62.0,-9999,-9999.0,-9999.0,
48,2006,1,7,20,,,239.0,,,215.0,10086.0,,,170.0,,,,26.0,-9999,-9999.0,-9999.0,
49,2006,1,7,23,,,250.0,,,229.0,10092.0,,,190.0,,,,21.0,-9999,-9999.0,-9999.0,
50,2006,1,8,2,,,262.0,,,233.0,10087.0,,,320.0,,,,31.0,-9999,-9999.0,-9999.0,
51,2006,1,8,8,,,282.0,,,237.0,10060.0,,,150.0,,,,36.0,-9999,-9999.0,-9999.0,
52,2006,1,8,14,,,229.0,,,220.0,10085.0,,,240.0,,,,10.0,-9999,-9999.0,-9999.0,
53,2006,1,8,23,,,263.0,,,216.0,10105.0,,,170.0,,,,10.0,-9999,-9999.0,-9999.0,
54,2006,1,9,2,,,275.0,,,221.0,10091.0,,,,90.0,,,,31,-9999.0,-9999.0,-9999.0
55,2006,1,9,5,,,293.0,,,217.0,10073.0,,,,20.0,,,,51,-9999.0,-9999.0,-9999.0
56,2006,1,9,8,,,278.0,,,226.0,10087.0,,,,30.0,,,,46,-9999.0,-9999.0,-9999.0
