,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,2007,1,3,11,,,,30.0,,,-40.0,-9999.0,,,260.0,,,,72.0,,,,,7.0,-9999.0,-9999.0
1,2007,1,3,15,,,,30.0,,,-20.0,-9999.0,,,140.0,,,,31.0,,,,,7.0,-9999.0,-9999.0
2,2007,1,4,10,,,,70.0,,,,40.0,-9999.0,,,260.0,,,123.0,,,,,7.0,-9999.0,-9999.0
3,2007,1,5,6,,,,40.0,,,-10.0,-9999.0,,,290.0,,,,77.0,,,,,7.0,-9999.0,-9999.0
4,2007,1,8,12,,,,50.0,,,,30.0,-9999.0,,,290.0,,,103.0,,,,,8.0,-9999.0,-9999.0
5,2007,2,14,12,,,,20.0,,,-20.0,-9999.0,,,190.0,,,,26.0,,,,,7.0,-9999.0,-9999.0
6,2007,2,14,15,,,,30.0,,,-10.0,-9999.0,,,160.0,,,,31.0,,,,,7.0,-9999.0,-9999.0
7,2007,2,20,12,,,-40.0,,-100.0,-9999.0,,,,90.0,,,154.0,,,,,7.0,-9999.0,-9999.0,,
8,2007,2,21,9,,,-80.0,,-110.0,-9999.0,,,100.0,,,190.0,,,,,7.0,-9999.0,-9999.0,,,
9,2007,2,21,12,,,-60.0,,,-90.0,-9999.0,,,120.0,,,170.0,,,,,7.0,-9999.0,-9999.0,,
10,2007,3,13,8,,,,60.0,,,,50.0,-9999.0,,,220.0,,,206.0,,,,,8.0,-9999.0,-9999.0
11,2007,3,16,7,,,,40.0,,,,10.0,-9999.0,,,250.0,,,139.0,,,,,7.0,-9999.0,-9999.0
12,2007,3,22,8,,,,60.0,,,,50.0,-9999.0,,,240.0,,,139.0,,,,,8.0,-9999.0,-9999.0
13,2007,3,23,8,,,,50.0,,,,10.0,-9999.0,,,120.0,,,134.0,-9999.0,-9999.0,-9999.0,,,,
14,2007,3,28,6,,,,80.0,,,,20.0,-9999.0,,,230.0,,,,72.0,-9999.0,-9999.0,-9999.0,,,
15,2007,4,2,9,,,,50.0,,,,20.0,-9999.0,,,320.0,,,159.0,,,,,7.0,-9999.0,-9999.0
16,2007,4,3,6,,,,50.0,,,-30.0,-9999.0,,,350.0,,,,52.0,,,,,8.0,-9999.0,-9999.0
17,2007,4,6,12,,,,10.0,,,-40.0,-9999.0,,,320.0,,,185.0,,,,,7.0,-9999.0,-9999.0,
18,2007,4,26,6,,,,80.0,,,,70.0,-9999.0,,,240.0,,,195.0,,,,,8.0,-9999.0,-9999.0
19,2007,6,8,16,,,140.0,,,,90.0,-9999.0,,,360.0,,,,41.0,,,,,2.0,-9999.0,-9999.0
20,2007,6,11,9,,,110.0,,,,70.0,-9999.0,,,270.0,,,,46.0,,,,,7.0,-9999.0,-9999.0
21,2007,6,11,15,,,100.0,,,,80.0,-9999.0,,,300.0,,,,77.0,,,,,7.0,-9999.0,-9999.0
22,2007,6,20,15,,,110.0,,,,50.0,-9999.0,,,,30.0,,,113.0,,,,,7.0,-9999.0,-9999.0
23,2007,6,21,9,,,110.0,,,,60.0,-9999.0,,,,40.0,,,123.0,,,,,4.0,-9999.0,-9999.0
24,2007,6,27,9,,,100.0,,,,80.0,-9999.0,,,260.0,,,,46.0,,,,,4.0,-9999.0,-9999.0
25,2007,7,3,13,,,180.0,,,110.0,-9999.0,,,100.0,,,159.0,-9999.0,-9999.0,-9999.0,,,,,,
26,2007,7,4,7,,,160.0,,,110.0,-9999.0,,,100.0,,,154.0,-9999.0,-9999.0,-9999.0,,,,,,
27,2007,7,5,13,,,190.0,,,110.0,-9999.0,,,100.0,,,129.0,-9999.0,-9999.0,-9999.0,,,,,,
28,2007,7,17,9,,,150.0,,,,90.0,-9999.0,,,,30.0,,,139.0,,,,,2.0,-9999.0,-9999.0
29,2007,7,27,12,,,140.0,,,110.0,-9999.0,,,,40.0,,,190.0,,,,,7.0,-9999.0,-9999.0,
30,2007,7,29,6,,,130.0,,,110.0,-9999.0,,,240.0,,,,51.0,,,,,4.0,-9999.0,-9999.0,
31,2007,7,30,9,,,160.0,,,110.0,-9999.0,,,360.0,,,,10.0,,,,,7.0,-9999.0,-9999.0,
32,2007,7,31,6,,,140.0,,,120.0,-9999.0,,,350.0,,,,62.0,,,,,7.0,-9999.0,-9999.0,
33,2007,8,2,6,,,130.0,,,,90.0,-9999.0,,,200.0,,,149.0,,,,,4.0,-9999.0,-9999.0,
34,2007,8,2,12,,,130.0,,,100.0,-9999.0,,,200.0,,,165.0,,,,,7.0,-9999.0,-9999.0,,
35,2007,8,5,15,,,140.0,,,110.0,-9999.0,,,200.0,,,,93.0,,,,,7.0,-9999.0,-9999.0,
36,2007,8,6,15,,,170.0,,,120.0,-9999.0,,,,30.0,,,,87.0,,,,,0.0,-9999.0,-9999.0
37,2007,8,8,6,,,140.0,,,120.0,-9999.0,,,310.0,,,,51.0,,,,,7.0,-9999.0,-9999.0,
38,2007,8,19,9,,,120.0,,,,90.0,-9999.0,,,210.0,,,144.0,,,,,7.0,-9999.0,-9999.0,
39,2007,9,2,8,,,100.0,,,,90.0,-9999.0,,,240.0,,,139.0,,,,,7.0,-9999.0,-9999.0,
40,2007,9,3,8,,,,90.0,,,,60.0,-9999.0,,,350.0,,,154.0,,,,,8.0,-9999.0,-9999.0
41,2007,9,4,7,,,100.0,,,,30.0,-9999.0,,,350.0,,,,72.0,,,,,4.0,-9999.0,-9999.0
42,2007,9,5,10,,,110.0,,,,90.0,-9999.0,,,240.0,,,165.0,,,,,7.0,-9999.0,-9999.0,
43,2007,9,5,16,,,100.0,,,,90.0,-9999.0,,,250.0,,,175.0,,,,,8.0,-9999.0,-9999.0,
44,2007,9,8,12,,,110.0,,,,90.0,-9999.0,,,300.0,,,,46.0,,,,,7.0,-9999.0,-9999.0
45,2007,9,8,15,,,120.0,,,,90.0,-9999.0,,,330.0,,,,57.0,,,,,7.0,-9999.0,-9999.0
46,2007,9,11,14,,,100.0,,,,80.0,-9999.0,,,210.0,,,216.0,,,,,8.0,-9999.0,-9999.0,
47,2007,9,11,15,,,100.0,,,,90.0,-9999.0,,,220.0,,,237.0,,,,,8.0,-9999.0,-9999.0,
48,2007,9,13,15,,,100.0,,,,80.0,-9999.0,,,200.0,,,201.0,,,,,8.0,-9999.0,-9999.0,
49,2007,9,14,9,,,100.0,,,,80.0,-9999.0,,,200.0,,,134.0,,,,,7.0,-9999.0,-9999.0,
50,2007,9,14,12,,,110.0,,,,80.0,-9999.0,,,260.0,,,165.0,,,,,4.0,-9999.0,-9999.0,
51,2007,9,14,15,,,100.0,,,,60.0,-9999.0,,,210.0,,,175.0,,,,,4.0,-9999.0,-9999.0,
52,2007,9,15,9,,,,70.0,,,,10.0,-9999.0,,,260.0,,,165.0,,,,,7.0,-9999.0,-9999.0
53,2007,10,7,15,,,,80.0,,,,40.0,-9999.0,,,290.0,,,185.0,,,,,4.0,-9999.0,-9999.0
54,2007,10,17,12,,,,60.0,,,,40.0,-9999.0,,,290.0,,,206.0,,,,,7.0,-9999.0,-9999.0
55,2007,10,19,15,,,,60.0,,,,20.0,-9999.0,,,220.0,,,,93.0,-9999.0,-9999.0,-9999.0,,,
56,2007,10,21,6,,,,90.0,,,,90.0,-9999.0,,,220.0,,,123.0,,,,,8.0,-9999.0,-9999.0
57,2007,10,23,6,,,110.0,,,,50.0,-9999.0,,,200.0,,,165.0,,,,,7.0,-9999.0,-9999.0,
58,2007,10,23,9,,,110.0,,,,50.0,-9999.0,,,190.0,,,144.0,,,,,7.0,-9999.0,-9999.0,
59,2007,10,24,9,,,100.0,,,,70.0,-9999.0,,,220.0,,,237.0,,,,,8.0,-9999.0,-9999.0,
60,2007,10,24,15,,,,90.0,,,,80.0,-9999.0,,,220.0,,,195.0,,,,,7.0,-9999.0,-9999.0
61,2007,10,25,9,,,,90.0,,,,60.0,-9999.0,,,220.0,,,159.0,,,,,7.0,-9999.0,-9999.0
62,2007,10,25,12,,,,90.0,,,,60.0,-9999.0,,,220.0,,,159.0,,,,,2.0,-9999.0,-9999.0
63,2007,10,27,6,,,,90.0,,,,60.0,-9999.0,,,200.0,,,134.0,,,,,7.0,-9999.0,-9999.0
64,2007,10,29,15,,,,80.0,,,,70.0,-9999.0,,,210.0,,,165.0,,,,,7.0,-9999.0,-9999.0
65,2007,10,31,6,,,,60.0,,,,20.0,-9999.0,,,190.0,,,159.0,,,,,7.0,-9999.0,-9999.0
66,2007,11,1,17,,,,50.0,,,-10.0,-9999.0,,,290.0,,,165.0,,,,,4.0,-9999.0,-9999.0,
67,2007,11,29,13,,,,30.0,,,-10.0,-9999.0,-9999.0,-9999.0,,,,,7.0,-9999.0,-9999.0,,,,,
68,2007,12,5,6,,,,30.0,,,,20.0,-9999.0,,,120.0,,,154.0,,,,,8.0,-9999.0,-9999.0
69,2007,12,9,6,,,,40.0,,,-20.0,-9999.0,,,240.0,,,,82.0,,,,,4.0,-9999.0,-9999.0
70,2007,12,14,13,,,,80.0,,,,40.0,-9999.0,,,240.0,,,134.0,,,,,7.0,-9999.0,-9999.0
71,2007,12,30,12,,,,50.0,,,,20.0,-9999.0,,,310.0,,,237.0,,,,,7.0,-9999.0,-9999.0
