,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2010,1,1,8,,,-50.0,,-110.0,-9999.0,,,,90.0,,,,72.0,-9999.0,-9999.0,-9999.0
2010,1,1,11,,,-50.0,,-110.0,-9999.0,,,100.0,,,,51.0,-9999.0,-9999.0,-9999.0,
2010,1,1,12,,,-40.0,,-100.0,-9999.0,,,100.0,,,,51.0,-9999.0,-9999.0,-9999.0,
2010,1,1,13,,,-50.0,,-100.0,-9999.0,,,,30.0,,,,46.0,-9999.0,-9999.0,-9999.0
2010,1,1,14,,,-40.0,,-100.0,-9999.0,,,,80.0,,,,57.0,-9999.0,-9999.0,-9999.0
2010,1,1,15,,,-40.0,,-100.0,-9999.0,,,,80.0,,,,67.0,-9999.0,-9999.0,-9999.0
2010,1,1,16,,,-40.0,,-100.0,-9999.0,,,,80.0,,,,46.0,-9999.0,-9999.0,-9999.0
2010,1,1,17,,,-40.0,,-110.0,-9999.0,,,100.0,,,,26.0,-9999.0,-9999.0,-9999.0,
2010,1,4,5,,,-30.0,,-100.0,-9999.0,,,,50.0,,,,51.0,-9999.0,-9999.0,-9999.0
2010,1,4,8,,,-40.0,,,-90.0,-9999.0,,,100.0,,,,31.0,-9999.0,-9999.0,-9999.0
2010,1,4,9,,,-60.0,,-100.0,-9999.0,,,,30.0,,,,26.0,-9999.0,-9999.0,-9999.0
2010,1,4,17,,,-50.0,,-110.0,-9999.0,,,,80.0,,,,67.0,-9999.0,-9999.0,-9999.0
2010,1,4,18,,,-60.0,,-120.0,-9999.0,,,,60.0,,,,72.0,-9999.0,-9999.0,-9999.0
2010,1,4,19,,,-70.0,,-130.0,-9999.0,,,,80.0,,,,62.0,-9999.0,-9999.0,-9999.0
2010,1,4,20,,,-70.0,,-130.0,-9999.0,,,,70.0,,,,72.0,-9999.0,-9999.0,-9999.0
2010,1,4,21,,,-70.0,,-140.0,-9999.0,,,,70.0,,,103.0,-9999.0,-9999.0,-9999.0,
2010,1,4,22,,,-70.0,,-140.0,-9999.0,,,,60.0,,,108.0,-9999.0,-9999.0,-9999.0,
2010,1,5,5,,-100.0,,-170.0,-9999.0,,,,80.0,,,,26.0,-9999.0,-9999.0,-9999.0,
2010,1,5,6,,-100.0,,-170.0,-9999.0,,,,40.0,,,,31.0,-9999.0,-9999.0,-9999.0,
2010,1,5,7,,-110.0,,-170.0,-9999.0,,,,30.0,,,,15.0,-9999.0,-9999.0,-9999.0,
2010,1,5,8,,-110.0,,-150.0,-9999.0,,,,50.0,,,,15.0,-9999.0,-9999.0,-9999.0,
2010,1,5,9,,-110.0,,-170.0,-9999.0,-9999.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,,
2010,1,5,10,,-120.0,,-170.0,-9999.0,-9999.0,,,,15.0,-9999.0,-9999.0,-9999.0,,,,
2010,1,5,19,,,-80.0,,-110.0,-9999.0,,,,80.0,,,,41.0,-9999.0,-9999.0,-9999.0
2010,1,5,20,,,-90.0,,-130.0,-9999.0,,,,50.0,,,,31.0,-9999.0,-9999.0,-9999.0
2010,1,5,21,,-100.0,,-140.0,-9999.0,,,,30.0,,,,31.0,-9999.0,-9999.0,-9999.0,
2010,1,5,22,,-100.0,,-130.0,-9999.0,,,,30.0,,,,31.0,-9999.0,-9999.0,-9999.0,
2010,1,6,5,,-110.0,,-130.0,-9999.0,,,,20.0,,,,26.0,-9999.0,-9999.0,-9999.0,
2010,1,6,6,,-110.0,,-140.0,-9999.0,,,,30.0,,,,31.0,-9999.0,-9999.0,-9999.0,
2010,1,6,7,,-120.0,,-150.0,-9999.0,,,,30.0,,,,21.0,-9999.0,-9999.0,-9999.0,
2010,1,6,8,,-100.0,,-140.0,-9999.0,,,,30.0,,,,26.0,-9999.0,-9999.0,-9999.0,
2010,1,6,9,,-100.0,,-130.0,-9999.0,,,,30.0,,,,26.0,-9999.0,-9999.0,-9999.0,
2010,1,6,10,,-100.0,,-140.0,-9999.0,,,,40.0,,,,26.0,-9999.0,-9999.0,-9999.0,
2010,1,6,11,,-110.0,,-150.0,-9999.0,,,,20.0,,,,26.0,-9999.0,-9999.0,-9999.0,
2010,1,6,13,,-100.0,,-140.0,-9999.0,-9999.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,,
2010,1,6,14,,-110.0,,-160.0,-9999.0,,,,40.0,,,,26.0,-9999.0,-9999.0,-9999.0,
2010,1,6,16,,-100.0,,-160.0,-9999.0,,,,30.0,,,,26.0,-9999.0,-9999.0,-9999.0,
2010,1,6,17,,-110.0,,-160.0,-9999.0,,,,10.0,,,,31.0,-9999.0,-9999.0,-9999.0,
2010,1,6,18,,-100.0,,-150.0,-9999.0,,,,40.0,,,,26.0,-9999.0,-9999.0,-9999.0,
2010,1,6,19,,,-90.0,,-150.0,-9999.0,,,,30.0,,,,26.0,-9999.0,-9999.0,-9999.0
2010,1,6,20,,,-90.0,,-150.0,-9999.0,,,,50.0,,,,31.0,-9999.0,-9999.0,-9999.0
2010,1,6,21,,-110.0,,-160.0,-9999.0,,,,20.0,,,,26.0,-9999.0,-9999.0,-9999.0,
2010,1,6,22,,,-90.0,,-140.0,-9999.0,,,350.0,,,,31.0,-9999.0,-9999.0,-9999.0,
2010,1,7,5,,,-80.0,,-140.0,-9999.0,,,360.0,,,,21.0,-9999.0,-9999.0,-9999.0,
2010,1,7,6,,-100.0,,-140.0,-9999.0,-9999.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,,
2010,1,7,7,,-120.0,,-140.0,-9999.0,-9999.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,,
2010,1,7,8,,,-70.0,,-120.0,-9999.0,,,290.0,,,,15.0,-9999.0,-9999.0,-9999.0,
2010,1,7,9,,-110.0,,-150.0,-9999.0,-9999.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,,
2010,1,7,10,,,-90.0,,-120.0,-9999.0,,,330.0,,,,15.0,-9999.0,-9999.0,-9999.0,
2010,1,7,11,,,-90.0,,-140.0,-9999.0,,,360.0,,,,26.0,-9999.0,-9999.0,-9999.0,
2010,1,7,12,,-110.0,,-150.0,-9999.0,,,,30.0,,,,15.0,-9999.0,-9999.0,-9999.0,
2010,1,7,13,,-110.0,,-140.0,-9999.0,,,160.0,,,,31.0,-9999.0,-9999.0,-9999.0,,
2010,1,7,14,,-110.0,,-140.0,-9999.0,-9999.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,,
2010,1,7,15,,,-90.0,,-130.0,-9999.0,,,,40.0,,,,26.0,-9999.0,-9999.0,-9999.0
