,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2014,1,1,2,,,260.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,1,3,,,260.0,,,230.0,-9999.0,,,270.0,,,,15.0,-9999.0,-9999.0,-9999.0,,,
2014,1,1,4,,,270.0,,,220.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,1,6,,,270.0,,,230.0,-9999.0,,,360.0,,,,36.0,-9999.0,-9999.0,-9999.0,,,
2014,1,1,7,,,270.0,,,230.0,-9999.0,,,360.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,1,8,,,270.0,,,230.0,-9999.0,,,120.0,,,,21.0,-9999.0,-9999.0,-9999.0,,,
2014,1,1,9,,,270.0,,,230.0,-9999.0,,,150.0,,,,15.0,-9999.0,-9999.0,-9999.0,,,
2014,1,1,10,,,260.0,,,230.0,-9999.0,,,150.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,1,11,,,260.0,,,230.0,-9999.0,,,150.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,1,12,,,250.0,,,230.0,-9999.0,,,120.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,2,1,-9999.0,-9999.0,-9999.0,,,180.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,,,,,
2014,1,2,2,,,270.0,,,230.0,-9999.0,,,150.0,,,,15.0,-9999.0,-9999.0,-9999.0,,,
2014,1,2,3,,,280.0,,,230.0,-9999.0,,,300.0,,,,21.0,-9999.0,-9999.0,-9999.0,,,
2014,1,2,4,,,290.0,,,230.0,-9999.0,,,240.0,,,,15.0,-9999.0,-9999.0,-9999.0,,,
2014,1,2,5,,,300.0,,,240.0,-9999.0,,,210.0,,,,21.0,-9999.0,-9999.0,-9999.0,,,
2014,1,2,6,,,310.0,,,220.0,-9999.0,,,210.0,,,,41.0,-9999.0,-9999.0,-9999.0,,,
2014,1,2,7,,,300.0,,,240.0,-9999.0,,,180.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,2,8,,,290.0,,,230.0,-9999.0,,,150.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,2,9,,,290.0,,,240.0,-9999.0,,,150.0,,,,31.0,-9999.0,-9999.0,-9999.0,,,
2014,1,2,10,,,290.0,,,240.0,-9999.0,,,150.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,2,11,,,280.0,,,230.0,-9999.0,,,180.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,2,12,,,270.0,,,230.0,-9999.0,,,180.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,2,23,,,240.0,,,230.0,-9999.0,,,180.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,3,0,,,250.0,,,230.0,-9999.0,,,180.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
