,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2015,1,1,1,,-348,-9999,-9999.0,,,,70.0,,,,21,-9999.0,-9999.0,-9999.0
1,2015,1,1,2,,-348,-9999,-9999.0,,,,70.0,,,,21,-9999.0,-9999.0,-9999.0
2,2015,1,1,3,,-348,-9999,-9999.0,,,,70.0,,,,26,-9999.0,-9999.0,-9999.0
3,2015,1,1,4,,-348,-9999,-9999.0,,,,70.0,,,,26,-9999.0,-9999.0,-9999.0
4,2015,1,1,5,,-348,-9999,-9999.0,,,,70.0,,,,26,-9999.0,-9999.0,-9999.0
5,2015,1,1,6,,-348,-9999,-9999.0,,,,70.0,,,,26,-9999.0,-9999.0,-9999.0
6,2015,1,1,7,,-348,-9999,-9999.0,,,,70.0,,,,26,-9999.0,-9999.0,-9999.0
7,2015,1,1,8,,-348,-9999,-9999.0,,,,70.0,,,,26,-9999.0,-9999.0,-9999.0
8,2015,1,1,9,,-348,-9999,-9999.0,,,,70.0,,,,26,-9999.0,-9999.0,-9999.0
9,2015,1,1,10,,-348,-9999,-9999.0,,,,70.0,,,,26,-9999.0,-9999.0,-9999.0
10,2015,1,1,11,,-348,-9999,-9999.0,,,,80.0,,,,26,-9999.0,-9999.0,-9999.0
11,2015,1,1,12,,-347,-9999,-9999.0,,,,80.0,,,,46,-9999.0,-9999.0,-9999.0
12,2015,1,1,13,,-347,-9999,-9999.0,,,,90.0,,,,41,-9999.0,-9999.0,-9999.0
13,2015,1,1,14,,-347,-9999,-9999.0,,,100.0,,,,41.0,-9999,-9999.0,-9999.0,
14,2015,1,1,15,,-347,-9999,-9999.0,,,110.0,,,,36.0,-9999,-9999.0,-9999.0,
15,2015,1,1,16,,-347,-9999,-9999.0,,,110.0,,,,36.0,-9999,-9999.0,-9999.0,
16,2015,1,1,17,,-347,-9999,-9999.0,,,100.0,,,,31.0,-9999,-9999.0,-9999.0,
17,2015,1,1,18,,-347,-9999,-9999.0,,,100.0,,,,26.0,-9999,-9999.0,-9999.0,
18,2015,1,1,19,,-347,-9999,-9999.0,,,,80.0,,,,26,-9999.0,-9999.0,-9999.0
19,2015,1,1,20,,-347,-9999,-9999.0,,,,80.0,,,,21,-9999.0,-9999.0,-9999.0
20,2015,1,1,21,,-347,-9999,-9999.0,,,,,0.0,-9999.0,-9999.0,-9999,-9999.0,,
21,2015,1,1,22,-9999.0,-9999,-9999,,,,,0.0,-9999.0,-9999.0,-9999.0,-9999,,,
22,2015,1,1,23,,-347,-9999,-9999.0,,,,70.0,,,,26,-9999.0,-9999.0,-9999.0
23,2015,1,2,0,,-347,-9999,-9999.0,,,,70.0,,,,26,-9999.0,-9999.0,-9999.0
24,2015,1,2,1,,-347,-9999,-9999.0,,,,70.0,,,,26,-9999.0,-9999.0,-9999.0
25,2015,1,2,2,,-347,-9999,-9999.0,,,,70.0,,,,26,-9999.0,-9999.0,-9999.0
26,2015,1,2,3,,-347,-9999,-9999.0,,,,70.0,,,,26,-9999.0,-9999.0,-9999.0
27,2015,1,2,4,,-347,-9999,-9999.0,,,,70.0,,,,26,-9999.0,-9999.0,-9999.0
28,2015,1,2,5,,-347,-9999,-9999.0,,,,70.0,,,,31,-9999.0,-9999.0,-9999.0
29,2015,1,2,6,,-347,-9999,-9999.0,,,,70.0,,,,31,-9999.0,-9999.0,-9999.0
30,2015,1,2,7,,-347,-9999,-9999.0,,,,70.0,,,,36,-9999.0,-9999.0,-9999.0
31,2015,1,2,8,,-346,-9999,-9999.0,,,,70.0,,,,36,-9999.0,-9999.0,-9999.0
32,2015,1,2,9,,-346,-9999,-9999.0,,,,60.0,,,,46,-9999.0,-9999.0,-9999.0
33,2015,1,2,10,,-346,-9999,-9999.0,,,,60.0,,,,46,-9999.0,-9999.0,-9999.0
34,2015,1,2,11,,-346,-9999,-9999.0,,,,60.0,,,,31,-9999.0,-9999.0,-9999.0
35,2015,1,2,12,,-346,-9999,-9999.0,,,,70.0,,,,26,-9999.0,-9999.0,-9999.0
36,2015,1,2,13,,-346,-9999,-9999.0,,,,70.0,,,,26,-9999.0,-9999.0,-9999.0
37,2015,1,2,14,,-346,-9999,-9999.0,,,,70.0,,,,15,-9999.0,-9999.0,-9999.0
38,2015,1,2,15,,-346,-9999,-9999.0,,,,70.0,,,,15,-9999.0,-9999.0,-9999.0
39,2015,1,2,16,,-346,-9999,-9999.0,,,,80.0,,,,15,-9999.0,-9999.0,-9999.0
40,2015,1,2,17,,-346,-9999,-9999.0,,,,70.0,,,,15,-9999.0,-9999.0,-9999.0
41,2015,1,2,18,,-346,-9999,-9999.0,,,,60.0,,,,26,-9999.0,-9999.0,-9999.0
42,2015,1,2,19,,-346,-9999,-9999.0,,,,60.0,,,,21,-9999.0,-9999.0,-9999.0
43,2015,1,2,20,,-346,-9999,-9999.0,,,,,0.0,-9999.0,-9999.0,-9999,-9999.0,,
44,2015,1,2,21,,-260,-9999,-9999.0,,,,,0.0,-9999.0,-9999.0,-9999,-9999.0,,
45,2015,1,2,22,,-261,-9999,-9999.0,,,,50.0,,,,26,-9999.0,-9999.0,-9999.0
46,2015,1,2,23,,-346,-9999,-9999.0,,,,50.0,,,,46,-9999.0,-9999.0,-9999.0
47,2015,1,3,0,,-346,-9999,-9999.0,,,,50.0,,,,51,-9999.0,-9999.0,-9999.0
48,2015,1,3,1,,-346,-9999,-9999.0,,,,50.0,,,,51,-9999.0,-9999.0,-9999.0
49,2015,1,3,2,,-346,-9999,-9999.0,,,,50.0,,,,57,-9999.0,-9999.0,-9999.0
50,2015,1,3,3,,-346,-9999,-9999.0,,,,50.0,,,,51,-9999.0,-9999.0,-9999.0
51,2015,1,3,4,,-346,-9999,-9999.0,,,,50.0,,,,51,-9999.0,-9999.0,-9999.0
52,2015,1,3,5,,-346,-9999,-9999.0,,,,50.0,,,,62,-9999.0,-9999.0,-9999.0
53,2015,1,3,6,,-346,-9999,-9999.0,,,,50.0,,,,57,-9999.0,-9999.0,-9999.0
54,2015,1,3,7,,-346,-9999,-9999.0,,,,50.0,,,,57,-9999.0,-9999.0,-9999.0
55,2015,1,3,8,,-345,-9999,-9999.0,,,,50.0,,,,67,-9999.0,-9999.0,-9999.0
56,2015,1,3,9,,-345,-9999,-9999.0,,,,50.0,,,,62,-9999.0,-9999.0,-9999.0
57,2015,1,3,10,,-345,-9999,-9999.0,,,,50.0,,,,57,-9999.0,-9999.0,-9999.0
58,2015,1,3,11,,-345,-9999,-9999.0,,,,50.0,,,,46,-9999.0,-9999.0,-9999.0
59,2015,1,3,12,-9999.0,-9999,-9999,,,,,0.0,-9999.0,-9999.0,-9999.0,-9999,,,
60,2015,1,3,13,,-345,-9999,-9999.0,,,,50.0,,,,21,-9999.0,-9999.0,-9999.0
61,2015,1,3,14,,-345,-9999,-9999.0,,,,50.0,,,,21,-9999.0,-9999.0,-9999.0
62,2015,1,3,15,,-345,-9999,-9999.0,,,,,0.0,-9999.0,-9999.0,-9999,-9999.0,,
63,2015,1,3,16,,-345,-9999,-9999.0,,,,80.0,,,,26,-9999.0,-9999.0,-9999.0
64,2015,1,3,17,,-345,-9999,-9999.0,,,,80.0,,,,26,-9999.0,-9999.0,-9999.0
65,2015,1,3,18,,-345,-9999,-9999.0,,,,90.0,,,,26,-9999.0,-9999.0,-9999.0
66,2015,1,3,19,,-345,-9999,-9999.0,,,,90.0,,,,15,-9999.0,-9999.0,-9999.0
67,2015,1,3,20,,-345,-9999,-9999.0,,,,80.0,,,,15,-9999.0,-9999.0,-9999.0
