,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2016,1,1,3,,,249,,,162.0,10245.0,,,,40.0,,,,80.0,,,,,1.0,-9999.0,-9999.0
2016,1,1,6,,,255,,,175.0,10228.0,,,,30.0,,,,60.0,,,,,2.0,-9999.0,-9999.0
2016,1,1,9,,,238,,,183.0,10232.0,,,,30.0,,,,40.0,,,,,4.0,-9999.0,-9999.0
2016,1,1,12,,,237,,,182.0,10241.0,,,,20.0,,,,30.0,,,,,3.0,-9999.0,-9999.0
2016,1,1,15,,,231,,,185.0,10240.0,,,,30.0,,,,40.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,1,18,,,219,,,185.0,10227.0,,,,30.0,,,,40.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,1,21,,,225,,,192.0,10214.0,,,,30.0,,,,30.0,,,,,4.0,-9999.0,-9999.0
2016,1,2,0,,,237,,,198.0,10228.0,,,,80.0,,,,40.0,,,,,5.0,-9999.0,-9999.0
2016,1,2,3,,,261,,,204.0,10220.0,,,,80.0,,,,30.0,,,,,7.0,-9999.0,-9999.0
2016,1,2,9,,,222,,,214.0,10206.0,,,350.0,,,,10.0,,,,,8.0,-9999.0,-9999.0,
2016,1,2,12,,,214,,,207.0,10218.0,,,100.0,,,,10.0,,,,,8.0,-9999.0,-9999.0,
2016,1,2,15,,,222,,,215.0,10214.0,,,120.0,,,,20.0,-9999.0,-9999.0,-9999.0,,,,,
2016,1,2,18,,,212,,,197.0,10199.0,,,120.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,,,
2016,1,2,21,,,227,,,192.0,10185.0,,,,50.0,,,,30.0,,,,,7.0,-9999.0,-9999.0
2016,1,3,0,,,222,,,195.0,10202.0,,,300.0,,,,10.0,,,,,8.0,-9999.0,-9999.0,
2016,1,3,3,,,263,,,217.0,10197.0,,,110.0,,,,30.0,,,,,7.0,-9999.0,-9999.0,
2016,1,3,9,,,235,,,214.0,10183.0,,,110.0,,,,10.0,,,,,6.0,-9999.0,-9999.0,
2016,1,3,12,,,232,,,201.0,10196.0,,,,30.0,,,,10.0,,,,,6.0,-9999.0,-9999.0
2016,1,3,15,,,235,,,197.0,10196.0,,,,80.0,,,,20.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,3,18,,,239,,,194.0,10182.0,,,,80.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,3,21,,,236,,,196.0,10181.0,,,,70.0,,,,30.0,,,,,6.0,-9999.0,-9999.0
2016,1,4,0,,,245,,,208.0,10202.0,,,,30.0,,,,10.0,,,,,2.0,-9999.0,-9999.0
2016,1,4,3,,,270,,,219.0,10197.0,,,310.0,,,,10.0,,,,,6.0,-9999.0,-9999.0,
2016,1,4,6,,,264,,,220.0,10173.0,,,340.0,,,,30.0,,,,,6.0,-9999.0,-9999.0,
2016,1,4,9,,,259,,,219.0,10170.0,,,340.0,,,,30.0,,,,,6.0,-9999.0,-9999.0,
2016,1,4,12,,,245,,,217.0,10185.0,,,360.0,,,,,0.0,,,,,3.0,-9999.0,-9999.0
2016,1,4,15,,,229,,,207.0,10187.0,,,,10.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,4,18,,,219,,,204.0,10176.0,,,,60.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,4,21,,,219,,,205.0,10168.0,,,,70.0,,,,20.0,,,,,0.0,-9999.0,-9999.0
2016,1,5,0,,,239,,,216.0,10184.0,,,,40.0,,,,10.0,,,,,1.0,-9999.0,-9999.0
2016,1,5,3,,,293,,,228.0,10177.0,,,130.0,,,,20.0,,,,,2.0,-9999.0,-9999.0,
2016,1,5,6,,,297,,,225.0,10149.0,,,200.0,,,,30.0,,,,,3.0,-9999.0,-9999.0,
2016,1,5,9,,,272,,,225.0,10153.0,,,130.0,,,,10.0,,,,,4.0,-9999.0,-9999.0,
2016,1,5,12,,,249,,,230.0,10172.0,,,,20.0,,,,10.0,,,,,4.0,-9999.0,-9999.0
2016,1,5,15,,,242,,,225.0,10174.0,,,,40.0,,,,20.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,5,18,,,242,,,220.0,10159.0,,,,90.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,5,21,,,236,,,207.0,10153.0,,,110.0,,,,30.0,,,,,2.0,-9999.0,-9999.0,
2016,1,6,0,,,242,,,200.0,10173.0,,,,20.0,,,,30.0,,,,,7.0,-9999.0,-9999.0
2016,1,6,3,,,274,,,216.0,10174.0,,,350.0,,,,10.0,,,,,3.0,-9999.0,-9999.0,
2016,1,6,9,,,250,,,200.0,10161.0,,,,30.0,,,,20.0,,,,,2.0,-9999.0,-9999.0
2016,1,6,12,,,242,,,196.0,10179.0,,,,50.0,,,,50.0,,,,,1.0,-9999.0,-9999.0
2016,1,6,15,,,234,,,187.0,10189.0,,,,60.0,,,,50.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,6,18,,,227,,,178.0,10184.0,,,,50.0,,,,80.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,6,21,,,223,,,165.0,10184.0,,,,50.0,,,,80.0,,,,,0.0,-9999.0,-9999.0
2016,1,7,0,,,229,,,165.0,10201.0,,,,50.0,,,,80.0,,,,,3.0,-9999.0,-9999.0
2016,1,7,3,,,245,,,174.0,10199.0,,,,50.0,,,,80.0,,,,,2.0,-9999.0,-9999.0
2016,1,7,6,,,249,,,176.0,10181.0,,,,50.0,,,,70.0,,,,,3.0,-9999.0,-9999.0
2016,1,7,9,,,235,,,173.0,10189.0,,,,40.0,,,,30.0,,,,,6.0,-9999.0,-9999.0
2016,1,7,12,,,227,,,163.0,10195.0,,,,20.0,,,,40.0,,,,,5.0,-9999.0,-9999.0
2016,1,7,15,,,224,,,162.0,10194.0,,,,20.0,,,,30.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,7,18,,,200,,,173.0,10186.0,,,350.0,,,,20.0,-9999.0,-9999.0,-9999.0,,,,,
2016,1,7,21,,,188,,,165.0,10184.0,,,350.0,,,,50.0,,,,,6.0,-9999.0,-9999.0,
2016,1,8,0,,,199,,,168.0,10190.0,,,350.0,,,,40.0,,,,,6.0,-9999.0,-9999.0,
2016,1,8,3,,,249,,,192.0,10185.0,,,150.0,,,,20.0,,,,,7.0,-9999.0,-9999.0,
2016,1,8,6,,,242,,,182.0,10168.0,,,,60.0,,,,30.0,,,,,7.0,-9999.0,-9999.0
2016,1,8,9,,,222,,,172.0,10170.0,,,,30.0,,,,60.0,,,,,6.0,-9999.0,-9999.0
2016,1,8,12,,,214,,,165.0,10184.0,,,,50.0,,,,60.0,,,,,2.0,-9999.0,-9999.0
2016,1,8,15,,,209,,,152.0,10193.0,,,,40.0,,,,70.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,8,18,,,207,,,146.0,10186.0,,,,40.0,,,,60.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,8,21,,,211,,,145.0,10193.0,,,,30.0,,,,70.0,,,,,2.0,-9999.0,-9999.0
2016,1,9,0,,,214,,,156.0,10205.0,,,,40.0,,,,70.0,,,,,3.0,-9999.0,-9999.0
2016,1,9,3,,,239,,,156.0,10210.0,,,,40.0,,,,80.0,,,,,2.0,-9999.0,-9999.0
2016,1,9,6,,,247,,,169.0,10183.0,,,,50.0,,,,60.0,,,,,4.0,-9999.0,-9999.0
2016,1,9,9,,,231,,,165.0,10189.0,,,,50.0,,,,40.0,,,,,4.0,-9999.0,-9999.0
2016,1,9,12,,,224,,,162.0,10201.0,,,,50.0,,,,50.0,,,,,1.0,-9999.0,-9999.0
2016,1,9,15,,,225,,,155.0,10201.0,,,,40.0,,,,50.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,9,21,,,216,,,152.0,10179.0,,,,40.0,,,,20.0,,,,,3.0,-9999.0,-9999.0
2016,1,10,3,,,261,,,175.0,10186.0,,,,80.0,,,,40.0,,,,,5.0,-9999.0,-9999.0
2016,1,10,6,,,234,,,194.0,10164.0,,,360.0,,,,20.0,,,,,7.0,-9999.0,-9999.0,
2016,1,10,9,,,234,,,189.0,10162.0,,,220.0,,,,10.0,,,,,6.0,-9999.0,-9999.0,
2016,1,10,12,,,227,,,191.0,10164.0,,,190.0,,,,20.0,,,,,3.0,-9999.0,-9999.0,
2016,1,10,15,,,233,,,194.0,10168.0,,,,40.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,10,18,,,215,,,187.0,10155.0,,,,60.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,10,21,,,211,,,183.0,10141.0,,,,70.0,,,,20.0,,,,,2.0,-9999.0,-9999.0
2016,1,11,0,,,219,,,193.0,10149.0,,,,30.0,,,,20.0,,,,,5.0,-9999.0,-9999.0
2016,1,11,3,,,265,,,216.0,10153.0,,,340.0,,,,20.0,,,,,5.0,-9999.0,-9999.0,
2016,1,11,6,,,280,,,205.0,10128.0,,,260.0,,,,10.0,,,,,4.0,-9999.0,-9999.0,
2016,1,11,9,,,262,,,203.0,10139.0,,,300.0,,,,10.0,,,,,6.0,-9999.0,-9999.0,
2016,1,11,12,,,224,,,194.0,10161.0,,,340.0,,,,30.0,,,,,4.0,-9999.0,-9999.0,
2016,1,11,15,,,214,,,190.0,10166.0,,,,,0.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
2016,1,11,18,,,215,,,192.0,10165.0,,,,,0.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
2016,1,11,21,,,225,,,185.0,10167.0,,,,50.0,,,,30.0,,,,,5.0,-9999.0,-9999.0
2016,1,12,0,,,219,,,180.0,10183.0,,,,50.0,,,,40.0,,,,,7.0,-9999.0,-9999.0
2016,1,12,3,,,235,,,182.0,10181.0,,,,40.0,,,,70.0,,,,,6.0,-9999.0,-9999.0
2016,1,12,6,,,229,,,175.0,10163.0,,,,50.0,,,,50.0,,,,,7.0,-9999.0,-9999.0
2016,1,12,9,,,228,,,169.0,10160.0,,,,70.0,,,,40.0,,,,,6.0,-9999.0,-9999.0
2016,1,12,12,,,224,,,167.0,10177.0,,,,40.0,,,,60.0,,,,,6.0,-9999.0,-9999.0
2016,1,12,15,,,208,,,168.0,10187.0,,,340.0,,,,30.0,-9999.0,-9999.0,-9999.0,,,,,
2016,1,12,18,,,200,,,175.0,10184.0,,,350.0,,,,20.0,-9999.0,-9999.0,-9999.0,,,,,
2016,1,12,21,,,196,,,171.0,10176.0,,,340.0,,,,30.0,,,,,8.0,-9999.0,-9999.0,
2016,1,13,0,,,197,,,168.0,10197.0,,,350.0,,,,30.0,,,,,8.0,-9999.0,-9999.0,
2016,1,13,3,,,197,,,168.0,10194.0,,,,20.0,,,,70.0,,,,,8.0,-9999.0,-9999.0
2016,1,13,9,,,205,,,178.0,10180.0,,,350.0,,,,30.0,,,,,7.0,-9999.0,-9999.0,
2016,1,13,12,,,204,,,177.0,10196.0,,,350.0,,,,20.0,,,,,5.0,-9999.0,-9999.0,
2016,1,13,15,,,209,,,165.0,10186.0,,,,30.0,,,,50.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,13,18,,,194,,,152.0,10184.0,,,350.0,,,,20.0,-9999.0,-9999.0,-9999.0,,,,,
2016,1,13,21,,,197,,,148.0,10180.0,,,330.0,,,,20.0,,,,,2.0,-9999.0,-9999.0,
