,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR,SATELLITE-INFO
0,1,1,3,,18.0,-19.0,10211.0,,10.0,8.0,-9999.0,-9999.0,377350-99999-2017
1,1,1,6,,23.0,-30.0,10206.0,,10.0,2.0,-9999.0,-9999.0,377350-99999-2017
2,1,1,9,,56.0,-28.0,10187.0,,40.0,3.0,-9999.0,-9999.0,377350-99999-2017
3,1,1,12,,89.0,-38.0,10174.0,,,,0.0,-9999.0,377350-99999-2017
4,1,1,15,,76.0,-33.0,10193.0,,40.0,0.0,-9999.0,-9999.0,377350-99999-2017
5,1,1,18,,48.0,-29.0,10202.0,,20.0,3.0,-9999.0,-9999.0,377350-99999-2017
6,1,1,21,,39.0,-34.0,10210.0,,30.0,3.0,-9999.0,-9999.0,377350-99999-2017
7,1,2,0,,14.0,-41.0,10214.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
8,1,2,3,,33.0,-46.0,10209.0,,20.0,0.0,-9999.0,-9999.0,377350-99999-2017
9,1,2,6,,42.0,-48.0,10216.0,,40.0,0.0,-9999.0,-9999.0,377350-99999-2017
10,1,2,9,,82.0,-78.0,10209.0,,40.0,2.0,-9999.0,-9999.0,377350-99999-2017
11,1,2,12,,,,,250.0,,-9999.0,,,377350-99999-2017
12,1,2,15,,66.0,-78.0,10208.0,,20.0,0.0,-9999.0,-9999.0,377350-99999-2017
13,1,2,18,,49.0,-80.0,10214.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
14,1,2,21,,32.0,-91.0,10217.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
15,1,3,0,,27.0,10222.0,,,,-9999.0,-9999.0,,377350-99999-2017
16,1,3,3,,20.0,10218.0,,,,-9999.0,-9999.0,,377350-99999-2017
17,1,3,6,,35.0,-67.0,10226.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
18,1,3,9,,77.0,-64.0,10210.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
19,1,3,12,,94.0,-78.0,10189.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
20,1,3,15,,55.0,-94.0,10196.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
21,1,3,18,,39.0,10195.0,,,,-9999.0,-9999.0,,377350-99999-2017
22,1,3,21,,38.0,10190.0,,,,-9999.0,-9999.0,,377350-99999-2017
23,1,4,0,,36.0,-99.0,10186.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
24,1,4,3,,24.0,10179.0,,,,-9999.0,-9999.0,,377350-99999-2017
25,1,4,6,,37.0,-92.0,10183.0,,20.0,0.0,-9999.0,-9999.0,377350-99999-2017
26,1,4,9,,88.0,10167.0,,,,-9999.0,-9999.0,,377350-99999-2017
27,1,4,12,,,,,290.0,,-9999.0,,,377350-99999-2017
28,1,4,15,,86.0,10177.0,,,,-9999.0,-9999.0,,377350-99999-2017
29,1,4,18,,52.0,10196.0,,,,-9999.0,-9999.0,,377350-99999-2017
30,1,4,21,,39.0,10207.0,,,,-9999.0,-9999.0,,377350-99999-2017
31,1,5,0,,29.0,-97.0,10226.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
32,1,5,3,,13.0,10232.0,,,,-9999.0,-9999.0,,377350-99999-2017
33,1,5,6,,53.0,10239.0,,,,-9999.0,-9999.0,,377350-99999-2017
34,1,5,9,,71.0,-78.0,10236.0,,10.0,2.0,-9999.0,-9999.0,377350-99999-2017
35,1,5,12,,96.0,-74.0,10218.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
36,1,5,15,,58.0,-84.0,10228.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
37,1,5,18,,55.0,10227.0,,,,-9999.0,-9999.0,,377350-99999-2017
38,1,5,21,,46.0,10229.0,,,,-9999.0,-9999.0,,377350-99999-2017
39,1,6,0,,45.0,10230.0,,,,-9999.0,-9999.0,,377350-99999-2017
40,1,6,3,,54.0,10228.0,,,,-9999.0,-9999.0,,377350-99999-2017
41,1,6,6,,48.0,-98.0,10236.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
42,1,6,9,,,,,250.0,,-9999.0,,,377350-99999-2017
43,1,6,12,,,10196.0,,,,-9999.0,-9999.0,,377350-99999-2017
44,1,6,15,,,10201.0,,,,-9999.0,-9999.0,,377350-99999-2017
45,1,6,18,,79.0,-47.0,10208.0,,10.0,2.0,-9999.0,-9999.0,377350-99999-2017
46,1,6,21,,59.0,-42.0,10204.0,,10.0,2.0,-9999.0,-9999.0,377350-99999-2017
47,1,7,0,,38.0,-46.0,10203.0,,,-9999.0,-9999.0,,377350-99999-2017
