,,,,,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR,SATELLITE-INFO
2017,1,1,1,,50.0,30.0,-9999.0,,,,,,0.0,,,,406356-99999-2017
2017,1,1,2,,50.0,30.0,-9999.0,290.0,,36.0,,,,0.0,-9999.0,-9999.0,406356-99999-2017
2017,1,1,3,,30.0,30.0,-9999.0,,,,,,0.0,-9999.0,,,406356-99999-2017
2017,1,1,4,,30.0,30.0,-9999.0,,,,,,0.0,-9999.0,,,406356-99999-2017
2017,1,1,5,,40.0,30.0,-9999.0,,,,,,0.0,-9999.0,,,406356-99999-2017
2017,1,1,6,,71.0,53.0,10230.0,,,,,,3.0,-9999.0,,,406356-99999-2017
2017,1,1,7,,80.0,60.0,-9999.0,280.0,,31.0,,,,0.0,-9999.0,-9999.0,406356-99999-2017
2017,1,1,8,,,-9999.0,,,31.0,,,,,-9999.0,-9999.0,,406356-99999-2017
2017,1,1,9,,,10230.0,,,10.0,,,,,-9999.0,-9999.0,,406356-99999-2017
2017,1,1,10,,,-9999.0,,,36.0,-9999.0,-9999.0,-9999.0,,,,,406356-99999-2017
2017,1,1,11,,,-9999.0,,,36.0,-9999.0,-9999.0,-9999.0,,,,,406356-99999-2017
2017,1,1,12,,,-9999.0,,,41.0,-9999.0,-9999.0,-9999.0,,,,,406356-99999-2017
2017,1,1,13,,,-9999.0,,,31.0,-9999.0,-9999.0,-9999.0,,,,,406356-99999-2017
2017,1,1,14,,,-9999.0,,,31.0,-9999.0,-9999.0,-9999.0,,,,,406356-99999-2017
2017,1,1,15,,80.0,50.0,-9999.0,290.0,,41.0,,,,0.0,-9999.0,-9999.0,406356-99999-2017
2017,1,1,16,,70.0,40.0,-9999.0,,,,21.0,,,,0.0,-9999.0,406356-99999-2017
2017,1,1,17,,60.0,30.0,-9999.0,,,,,,0.0,-9999.0,,,406356-99999-2017
2017,1,1,18,,40.0,20.0,-9999.0,,,,,,0.0,,,,406356-99999-2017
2017,1,1,19,,40.0,30.0,-9999.0,,,,,,0.0,-9999.0,,,406356-99999-2017
2017,1,1,20,,40.0,20.0,-9999.0,,-9999.0,-9999.0,-9999.0,,,,,,406356-99999-2017
2017,1,1,21,,40.0,20.0,-9999.0,,-9999.0,-9999.0,-9999.0,,,,,,406356-99999-2017
2017,1,1,22,,20.0,10.0,-9999.0,170.0,,21.0,-9999.0,-9999.0,-9999.0,,,,406356-99999-2017
2017,1,1,23,,20.0,10.0,-9999.0,,-9999.0,-9999.0,-9999.0,,,,,,406356-99999-2017
2017,1,2,1,,10.0,-9999.0,-9999.0,,,,,0.0,-9999.0,,,,406356-99999-2017
2017,1,2,2,,20.0,10.0,-9999.0,190.0,,21.0,,,,0.0,-9999.0,-9999.0,406356-99999-2017
2017,1,2,3,,10.0,,0.0,,,,31.0,,,,0.0,-9999.0,406356-99999-2017
2017,1,2,5,,20.0,,0.0,,10.0,,,,,-9999.0,-9999.0,,406356-99999-2017
2017,1,2,6,,40.0,10.0,-9999.0,,5.0,,,,,-9999.0,-9999.0,,406356-99999-2017
2017,1,2,7,,60.0,20.0,-9999.0,,,,,,0.0,-9999.0,,,406356-99999-2017
2017,1,2,8,,90.0,20.0,-9999.0,,,,,,0.0,,,,406356-99999-2017
2017,1,2,9,,,10230.0,-9999.0,,,,,0.0,-9999.0,,,,406356-99999-2017
2017,1,2,10,,,-9999.0,,,21.0,-9999.0,-9999.0,-9999.0,,,,,406356-99999-2017
2017,1,2,11,,,0.0,-9999.0,300.0,,21.0,-9999.0,-9999.0,-9999.0,,,,406356-99999-2017
