,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR
0,2017,1,1,3,-56,-83,10072,360,62,-9999,-9999,-9999
1,2017,1,1,6,-81,-106,10091,20,46,-9999,-9999,0
2,2017,1,1,9,-98,-124,10112,40,36,-9999,-9999,-9999
3,2017,1,1,12,-119,-138,10125,20,57,-9999,-9999,0
4,2017,1,1,15,-130,-152,10159,50,46,-9999,-9999,-9999
5,2017,1,1,18,-139,-163,10179,20,72,-9999,-9999,0
6,2017,1,1,21,-145,-168,10182,10,77,-9999,-9999,-9999
7,2017,1,2,0,-145,-172,10197,20,103,-9999,-9999,0
8,2017,1,2,3,-139,-167,10222,30,36,-9999,-9999,-9999
9,2017,1,2,6,-134,-164,10230,20,36,-9999,-9999,0
10,2017,1,2,9,-141,-164,10236,30,62,-9999,-9999,-9999
11,2017,1,2,12,-147,-174,10248,20,41,-9999,-9999,2
12,2017,1,2,15,-155,-184,10268,20,41,-9999,-9999,-9999
13,2017,1,2,18,-156,-186,10291,30,46,-9999,-9999,0
14,2017,1,2,21,-162,-196,10292,20,57,-9999,-9999,-9999
15,2017,1,3,0,-185,-212,10318,20,41,-9999,-9999,0
16,2017,1,3,3,-205,-230,10331,340,15,-9999,-9999,-9999
17,2017,1,3,6,-225,-249,10336,300,10,-9999,-9999,0
18,2017,1,3,9,-235,-255,10339,350,31,-9999,-9999,-9999
19,2017,1,3,12,-268,-301,10353,300,10,-9999,-9999,0
20,2017,1,3,15,-266,-298,10361,300,5,-9999,-9999,-9999
21,2017,1,3,18,-204,-230,10352,280,21,-9999,-9999,4
22,2017,1,3,21,-193,-231,10333,270,21,-9999,-9999,-9999
23,2017,1,4,0,-216,-242,10335,280,5,-9999,-9999,0
24,2017,1,4,3,-248,-279,10330,290,10,-9999,-9999,-9999
25,2017,1,4,6,-218,-246,10304,250,21,-9999,-9999,0
26,2017,1,4,9,-234,-264,10284,270,31,-9999,-9999,-9999
27,2017,1,4,12,-239,-270,10275,270,41,-9999,-9999,0
28,2017,1,4,15,-210,-239,10256,320,21,-9999,-9999,-9999
29,2017,1,4,18,-174,-208,10246,320,46,-9999,-9999,2
30,2017,1,4,21,-163,-205,10239,330,67,-9999,-9999,-9999
31,2017,1,5,0,-166,-198,10251,320,46,-9999,-9999,0
32,2017,1,5,3,-169,-200,10256,10,46,-9999,-9999,-9999
33,2017,1,5,6,-179,-208,10261,320,31,-9999,-9999,0
34,2017,1,5,9,-180,-215,10259,330,51,-9999,-9999,-9999
35,2017,1,5,12,-177,-211,10255,290,36,-9999,-9999,0
36,2017,1,5,15,-203,-232,10240,284,24,-9999,-9999,-9999
37,2017,1,5,18,-176,-243,10227,140,5,-9999,-9999,3
38,2017,1,5,21,-149,-190,10205,260,41,-9999,-9999,-9999
39,2017,1,6,0,-144,-173,10193,160,26,-9999,-9999,0
40,2017,1,6,3,-157,-184,10188,180,26,-9999,-9999,-9999
41,2017,1,6,6,-155,-177,10179,160,15,-9999,-9999,0
42,2017,1,6,9,-162,-184,10180,60,5,-9999,-9999,-9999
43,2017,1,6,12,-162,-185,10196,10,36,-9999,-9999,5
44,2017,1,6,15,-199,-225,10227,10,31,-9999,-9999,-9999
45,2017,1,6,18,-197,-240,10259,70,26,-9999,-9999,0
46,2017,1,6,21,-191,-229,10266,50,21,-9999,-9999,-9999
47,2017,1,7,0,-213,-239,10291,50,15,-9999,-9999,0
48,2017,1,7,3,-250,-274,10319,350,10,-9999,-9999,-9999
49,2017,1,7,6,-264,-294,10336,320,15,-9999,-9999,0
50,2017,1,7,9,-261,-290,10341,70,26,-9999,-9999,-9999
51,2017,1,7,12,-219,-246,10342,70,10,-9999,-9999,3
52,2017,1,7,15,-179,-221,10342,120,21,-9999,-9999,-9999
53,2017,1,7,18,-156,-232,10340,130,41,-9999,-9999,2
54,2017,1,7,21,-142,-203,10299,120,46,-9999,-9999,-9999
55,2017,1,8,0,-174,-210,10282,120,31,-9999,-9999,0
56,2017,1,8,3,-219,-248,10257,10,10,-9999,-9999,-9999
57,2017,1,8,6,-207,-232,10235,350,31,-9999,-9999,0
58,2017,1,8,9,-171,-196,10226,350,77,-9999,-9999,-9999
59,2017,1,8,12,-171,-200,10236,340,113,-9999,-9999,0
60,2017,1,8,15,-172,-199,10268,340,88,-9999,-9999,-9999
61,2017,1,8,18,-166,-200,10283,340,72,-9999,-9999,0
62,2017,1,8,21,-168,-216,10270,340,57,-9999,-9999,-9999
63,2017,1,9,0,-208,-241,10267,350,15,-9999,-9999,0
64,2017,1,9,3,-231,-260,10245,200,10,-9999,-9999,-9999
65,2017,1,9,6,-195,-222,10196,140,36,-9999,-9999,7
66,2017,1,9,9,-171,-196,10134,120,62,-9999,-9999,-9999
67,2017,1,9,12,-170,-196,10095,110,77,-9999,-9999,30
68,2017,1,9,15,-159,-183,10086,160,51,-9999,-9999,-9999
69,2017,1,9,18,-151,-183,10072,280,15,-9999,-9999,20
70,2017,1,9,21,-159,-199,10065,300,62,-9999,-9999,-9999
71,2017,1,10,0,-174,-205,10071,330,72,-9999,-9999,0
72,2017,1,10,3,-181,-221,10069,330,51,-9999,-9999,-9999
73,2017,1,10,6,-192,-231,10089,310,62,-9999,-9999,0
74,2017,1,10,9,-197,-238,10097,300,77,-9999,-9999,-9999
75,2017,1,10,12,-222,-253,10112,310,21,-9999,-9999,0
76,2017,1,10,15,-199,-237,10108,310,82,-9999,-9999,-9999
77,2017,1,10,18,-185,-232,10103,320,57,-9999,-9999,0
