,,,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR,SATELLITE-INFO
2017,1,1,,78.0,,78.0,,,,-9999.0,,,0.0,-9999.0,723403-13963-2017
2017,1,1,,78.0,,78.0,,,15.0,,,0.0,,,723403-13963-2017
2017,1,1,,78.0,,78.0,,,,-9999.0,,,0.0,-9999.0,723403-13963-2017
2017,1,1,,78.0,,78.0,,,21.0,,,0.0,,,723403-13963-2017
2017,1,1,,78.0,,78.0,,,21.0,,,0.0,,,723403-13963-2017
2017,1,1,,78.0,,78.0,,,,,,-1.0,,,723403-13963-2017
2017,1,1,,72.0,,72.0,,,,,,,,,723403-13963-2017
2017,1,1,,72.0,,72.0,,,,,,,,,723403-13963-2017
2017,1,1,,67.0,,67.0,,,,,,,,,723403-13963-2017
2017,1,1,,61.0,,61.0,,,,,,-1.0,,,723403-13963-2017
2017,1,1,,61.0,,61.0,,,,,,-1.0,,-1.0,723403-13963-2017
2017,1,1,,61.0,,61.0,,,,,,-1.0,,,723403-13963-2017
2017,1,1,,67.0,,67.0,,,,,,,,,723403-13963-2017
2017,1,1,,67.0,,67.0,,,,,,,,,723403-13963-2017
2017,1,1,,72.0,,72.0,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,1,,72.0,,72.0,,,,,,,,,723403-13963-2017
2017,1,1,,78.0,,78.0,,,41.0,,,0.0,,,723403-13963-2017
2017,1,1,,78.0,,78.0,,,,,,,,,723403-13963-2017
2017,1,1,,78.0,,78.0,,,,,,,,,723403-13963-2017
2017,1,2,,78.0,,78.0,,,,,,,,,723403-13963-2017
2017,1,2,,78.0,,78.0,,,,,,,,,723403-13963-2017
2017,1,2,,72.0,,72.0,,,,,,,,,723403-13963-2017
2017,1,2,,72.0,,72.0,,,,,,-1.0,,,723403-13963-2017
2017,1,2,,72.0,,72.0,,,,,,-1.0,,,723403-13963-2017
2017,1,2,,72.0,,72.0,,,,,,,,,723403-13963-2017
2017,1,2,,72.0,,72.0,,,,,,-1.0,,,723403-13963-2017
2017,1,2,,72.0,,72.0,,,,,,,,,723403-13963-2017
2017,1,2,,72.0,,72.0,,,,,,-1.0,,,723403-13963-2017
2017,1,2,,83.0,,83.0,,,31.0,,9.0,,-1.0,-9999.0,723403-13963-2017
2017,1,2,,89.0,,89.0,,,15.0,,9.0,,-1.0,-9999.0,723403-13963-2017
2017,1,2,,94.0,,94.0,,,26.0,,9.0,,23.0,-9999.0,723403-13963-2017
2017,1,2,,,10123.0,,,-9999.0,,,,,,,723403-13963-2017
2017,1,2,,,10105.0,,,-9999.0,,-9999.0,,,,,723403-13963-2017
2017,1,2,,,10074.0,,30.0,36.0,-9999.0,-1.0,-9999.0,,,,723403-13963-2017
2017,1,2,,,10076.0,,10.0,36.0,,9.0,,,-9999.0,,723403-13963-2017
2017,1,2,,,10077.0,-9999.0,,,,,-1.0,-9999.0,,,723403-13963-2017
2017,1,2,,,10082.0,,10.0,15.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,3,,,10088.0,,,,,,,,,,723403-13963-2017
2017,1,3,,,10091.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,3,,,10096.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,3,,,10108.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,3,,,10110.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,3,,,10110.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,3,,,10117.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,3,,,10115.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,3,,,10109.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,3,,,10110.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,3,,,-9999.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,3,,,10110.0,,,,,,,,,,723403-13963-2017
2017,1,3,,,10108.0,,,,,,,,,,723403-13963-2017
2017,1,3,,,10115.0,,,,,,,,-9999.0,,723403-13963-2017
2017,1,3,-9999.0,,,0.0,,,,,,,,,723403-13963-2017
2017,1,3,,,10135.0,-9999.0,,,,,,,,,723403-13963-2017
2017,1,3,,,10134.0,,,,,,,,,,723403-13963-2017
2017,1,3,,,10130.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,3,,,10125.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,3,,,10126.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,3,,,10129.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,3,,,10137.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,3,,,10141.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,4,,,10152.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,4,,,89.0,10161.0,340.0,72.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,4,,83.0,,67.0,,,72.0,,,0.0,,,723403-13963-2017
2017,1,4,,78.0,,56.0,,,93.0,,,0.0,,,723403-13963-2017
2017,1,4,,67.0,,44.0,,,82.0,,,0.0,,,723403-13963-2017
2017,1,4,,61.0,,44.0,,,72.0,,,0.0,,,723403-13963-2017
2017,1,4,,44.0,,28.0,,,62.0,,,0.0,,,723403-13963-2017
2017,1,4,,33.0,,,,,,,,,,,723403-13963-2017
2017,1,4,,28.0,,-6.0,,,51.0,,,0.0,,,723403-13963-2017
2017,1,4,,11.0,-28.0,10218.0,350.0,72.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,4,,,10230.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,4,,,10237.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,4,,,10241.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,4,,,10243.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,4,,11.0,-78.0,10253.0,360.0,46.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,4,,11.0,-83.0,10251.0,,,41.0,,,0.0,,,723403-13963-2017
2017,1,4,,28.0,-89.0,10241.0,,,,-9999.0,,,,,723403-13963-2017
2017,1,4,,39.0,-89.0,10230.0,,,41.0,,,0.0,,,723403-13963-2017
2017,1,4,,39.0,10217.0,,60.0,51.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,4,,44.0,-89.0,10214.0,,,31.0,,,0.0,,,723403-13963-2017
2017,1,4,,33.0,-89.0,10207.0,100.0,36.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,4,,22.0,-78.0,10205.0,100.0,41.0,,4.0,,,0.0,-9999.0,723403-13963-2017
2017,1,5,,,10199.0,,50.0,26.0,,0.0,,,0.0,-9999.0,723403-13963-2017
2017,1,5,,,10186.0,,90.0,15.0,,0.0,,,0.0,-9999.0,723403-13963-2017
2017,1,5,,,10180.0,,70.0,26.0,,4.0,,,0.0,-9999.0,723403-13963-2017
2017,1,5,,,10184.0,,40.0,26.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,5,,,10183.0,,30.0,26.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,5,,-6.0,-50.0,10176.0,,,36.0,,,0.0,,,723403-13963-2017
2017,1,5,,-6.0,-44.0,10176.0,,,31.0,,,0.0,,,723403-13963-2017
2017,1,5,,-6.0,-44.0,10176.0,,,31.0,,,0.0,,,723403-13963-2017
2017,1,5,,-6.0,-39.0,10167.0,,,26.0,,,0.0,,,723403-13963-2017
2017,1,5,,-6.0,-33.0,10161.0,,,21.0,,,0.0,,,723403-13963-2017
2017,1,5,,-6.0,-39.0,10169.0,,,31.0,,,0.0,,,723403-13963-2017
2017,1,5,,-6.0,-44.0,10172.0,,,31.0,,,0.0,,,723403-13963-2017
2017,1,5,,-6.0,-33.0,10172.0,,,21.0,,,0.0,,,723403-13963-2017
2017,1,5,,,,-39.0,,,,,,,,,723403-13963-2017
2017,1,5,,,,-33.0,,,,,,,,,723403-13963-2017
2017,1,5,,17.0,-33.0,10173.0,,,31.0,,,0.0,,,723403-13963-2017
2017,1,5,,17.0,-39.0,10174.0,,,31.0,,,0.0,,,723403-13963-2017
2017,1,5,,11.0,-39.0,10169.0,,,41.0,,,0.0,,,723403-13963-2017
2017,1,5,,22.0,-39.0,10175.0,340.0,36.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,5,,22.0,-33.0,10171.0,350.0,41.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,5,,22.0,-39.0,10171.0,,,26.0,,,0.0,,,723403-13963-2017
2017,1,5,,17.0,-44.0,10181.0,,,46.0,,,0.0,,,723403-13963-2017
2017,1,6,,11.0,-61.0,10193.0,,,62.0,,,0.0,,,723403-13963-2017
2017,1,6,,,,-67.0,,,,,,,,,723403-13963-2017
