,,,,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR,SATELLITE-INFO
2017,1,1,1,39.0,-78.0,10116.0,,,,26.0,,4.0,,0.0,-9999.0,723630-23047-2017
2017,1,1,2,39.0,-72.0,10128.0,,,,,,,-9999.0,,,723630-23047-2017
2017,1,1,3,28.0,-72.0,10129.0,,100.0,26.0,,2.0,,0.0,-9999.0,,723630-23047-2017
2017,1,1,4,22.0,-61.0,10126.0,,120.0,26.0,-9999.0,,0.0,,,,723630-23047-2017
2017,1,1,5,,,-61.0,10124.0,,,31.0,,4.0,,0.0,-9999.0,723630-23047-2017
2017,1,1,6,,10119.0,,,,,,,,-9999.0,,,723630-23047-2017
2017,1,1,7,,,-72.0,10114.0,,,51.0,,0.0,,0.0,-9999.0,723630-23047-2017
2017,1,1,8,-6.0,-72.0,10111.0,,150.0,51.0,,0.0,,0.0,-9999.0,,723630-23047-2017
2017,1,1,9,,10112.0,,,,,,,,-9999.0,,,723630-23047-2017
2017,1,1,10,,10105.0,,,,,,,,-9999.0,,,723630-23047-2017
2017,1,1,11,,10103.0,,,,,,,,-9999.0,,,723630-23047-2017
2017,1,1,12,,10102.0,,,,,,,,-9999.0,,,723630-23047-2017
2017,1,1,13,,10101.0,,,,,,,,-9999.0,,,723630-23047-2017
2017,1,1,14,,10096.0,,,,,,,,-9999.0,,,723630-23047-2017
2017,1,1,15,,,-39.0,10093.0,,,72.0,,0.0,,0.0,-9999.0,723630-23047-2017
2017,1,1,16,56.0,-11.0,10086.0,,190.0,88.0,,0.0,,0.0,-9999.0,,723630-23047-2017
2017,1,1,17,,11.0,10083.0,,210.0,93.0,,0.0,,0.0,-9999.0,,723630-23047-2017
2017,1,1,18,,17.0,10069.0,,210.0,,,,,-9999.0,,,723630-23047-2017
2017,1,1,19,,,0.0,10050.0,,,98.0,,0.0,,0.0,-9999.0,723630-23047-2017
2017,1,1,20,,10039.0,,,,,,,,,,,723630-23047-2017
2017,1,1,21,,-6.0,10037.0,,230.0,,,,,-9999.0,,,723630-23047-2017
2017,1,1,22,,10036.0,,,,,,,,,,,723630-23047-2017
2017,1,1,23,,10038.0,,,,,,,,,,,723630-23047-2017
2017,1,2,0,,10048.0,,,,,,,,-9999.0,,,723630-23047-2017
2017,1,2,1,,10051.0,,,,,,,,-9999.0,,,723630-23047-2017
2017,1,2,2,83.0,-17.0,10059.0,,190.0,41.0,,0.0,,0.0,-9999.0,,723630-23047-2017
2017,1,2,3,83.0,-11.0,10061.0,,200.0,46.0,,0.0,,0.0,-9999.0,,723630-23047-2017
2017,1,2,4,89.0,,-6.0,10054.0,,,36.0,,,,,,723630-23047-2017
2017,1,2,6,94.0,,17.0,10047.0,,,67.0,,0.0,,0.0,-9999.0,723630-23047-2017
2017,1,2,7,89.0,,33.0,10043.0,,,67.0,,0.0,,0.0,-9999.0,723630-23047-2017
2017,1,2,8,67.0,,33.0,10040.0,,,67.0,,2.0,,0.0,-9999.0,723630-23047-2017
2017,1,2,9,50.0,,28.0,10036.0,,,51.0,,0.0,,0.0,-9999.0,723630-23047-2017
2017,1,2,10,56.0,,28.0,10034.0,,,62.0,,0.0,,0.0,-9999.0,723630-23047-2017
2017,1,2,11,44.0,,17.0,10038.0,,,77.0,,0.0,,0.0,-9999.0,723630-23047-2017
2017,1,2,13,67.0,,-6.0,10053.0,,,93.0,,0.0,,0.0,-9999.0,723630-23047-2017
2017,1,2,14,50.0,,-6.0,10070.0,,,77.0,,0.0,,0.0,-9999.0,723630-23047-2017
2017,1,2,15,67.0,-11.0,10076.0,,260.0,67.0,,0.0,,0.0,-9999.0,,723630-23047-2017
2017,1,2,16,89.0,,-6.0,10083.0,,,57.0,,0.0,,0.0,-9999.0,723630-23047-2017
2017,1,2,17,,10081.0,,,,,,,,-9999.0,,,723630-23047-2017
2017,1,2,18,,10074.0,,,,,,,,-9999.0,,,723630-23047-2017
2017,1,2,19,,10062.0,,,,,,,,-9999.0,,,723630-23047-2017
2017,1,2,20,,10062.0,,,,,,,,-9999.0,,,723630-23047-2017
2017,1,2,21,,10067.0,,,,,,,,-9999.0,,,723630-23047-2017
2017,1,2,22,,10072.0,,,,,,,,-9999.0,,,723630-23047-2017
2017,1,2,23,,10081.0,,,,,,,,-9999.0,,,723630-23047-2017
2017,1,3,1,83.0,-50.0,10092.0,,200.0,41.0,,0.0,,0.0,-9999.0,,723630-23047-2017
2017,1,3,2,83.0,-50.0,10100.0,,230.0,36.0,,0.0,,0.0,-9999.0,,723630-23047-2017
2017,1,3,3,,10098.0,,,,,,,,-9999.0,,,723630-23047-2017
