,,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR,SATELLITE-INFO
2017,1,2,,94.0,,83.0,10088.0,120.0,,21.0,-9999.0,3.0,-9999.0,723815-23161-2017
2017,1,3,,,78.0,10088.0,,50.0,,46.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,4,,89.0,,39.0,10096.0,240.0,,93.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,5,,61.0,,50.0,10110.0,260.0,,88.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,7,,50.0,,33.0,10116.0,260.0,,31.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,8,,56.0,,39.0,10109.0,220.0,,26.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,9,,61.0,,39.0,-9999.0,240.0,,26.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,11,,56.0,,44.0,10097.0,300.0,,31.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,13,,67.0,,39.0,10096.0,260.0,,72.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,14,,61.0,,39.0,10099.0,260.0,,67.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,15,,56.0,,39.0,10105.0,280.0,,67.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,16,,61.0,,39.0,10107.0,280.0,,57.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,23,,,83.0,10133.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,1,0,,,78.0,10129.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,1,1,,,78.0,10133.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,1,2,,,78.0,10132.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,1,15,,,72.0,10099.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,1,18,,,10122.0,,,,103.0,,,15.0,,723815-23161-2017
2017,1,19,,,10116.0,,,,118.0,,,,,723815-23161-2017
2017,1,20,,,10102.0,,,,108.0,,,,,723815-23161-2017
2017,1,21,,,89.0,10088.0,,,,,,,,723815-23161-2017
2017,1,22,,,83.0,10085.0,,,,,,,,723815-23161-2017
2017,1,10,,28.0,-22.0,10241.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,1,16,,28.0,,,0.0,,140.0,,21.0,-1.0,-9999.0,723815-23161-2017
2017,1,17,,39.0,,-6.0,10254.0,150.0,,21.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,19,,61.0,-11.0,10259.0,,,,-9999.0,,,,723815-23161-2017
2017,1,20,,67.0,-11.0,10250.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,1,2,,83.0,,17.0,10250.0,130.0,,26.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,6,,56.0,,33.0,-9999.0,140.0,,21.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,10,,61.0,,11.0,10255.0,100.0,,15.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,10,,89.0,,44.0,10183.0,290.0,,21.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,13,,94.0,,56.0,10173.0,320.0,,36.0,-9999.0,3.0,-9999.0,723815-23161-2017
2017,1,14,,89.0,,72.0,10182.0,310.0,,26.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,12,,,50.0,10099.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,1,13,,,56.0,10105.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,1,14,,,56.0,10111.0,,,,-9999.0,,,,723815-23161-2017
2017,1,15,,,67.0,10113.0,,,,-9999.0,,,,723815-23161-2017
2017,1,16,,,56.0,10115.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,1,17,,,56.0,10121.0,,,,,,,,723815-23161-2017
2017,1,19,,,61.0,10121.0,,,,,,,,723815-23161-2017
2017,1,9,,,39.0,10117.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,1,16,,78.0,,44.0,10123.0,280.0,,21.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,19,,,56.0,10131.0,,30.0,,21.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,22,,94.0,,67.0,10115.0,360.0,,21.0,-9999.0,3.0,-9999.0,723815-23161-2017
2017,1,1,,83.0,,78.0,10127.0,,70.0,,15.0,15.0,-9999.0,723815-23161-2017
2017,1,3,,83.0,,72.0,10129.0,,80.0,,15.0,-1.0,-9999.0,723815-23161-2017
2017,1,8,,67.0,,61.0,10145.0,330.0,,15.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,9,,67.0,,67.0,10147.0,280.0,,21.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,10,,67.0,,67.0,10149.0,290.0,,15.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,12,,72.0,,67.0,10154.0,300.0,,26.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,16,,72.0,,72.0,-9999.0,,70.0,,26.0,-1.0,-9999.0,723815-23161-2017
2017,1,19,,89.0,,78.0,-9999.0,100.0,,15.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,20,,89.0,,72.0,-9999.0,120.0,,31.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,21,,89.0,,72.0,10170.0,130.0,,31.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,22,,89.0,,72.0,10170.0,100.0,,36.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,23,,89.0,,72.0,10175.0,,70.0,,41.0,10.0,-9999.0,723815-23161-2017
2017,1,0,,83.0,,78.0,10182.0,,,,,,74.0,723815-23161-2017
2017,1,2,,78.0,,72.0,10189.0,220.0,,21.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,3,,78.0,,67.0,10189.0,230.0,,26.0,-9999.0,5.0,-9999.0,723815-23161-2017
2017,1,4,,78.0,,67.0,10192.0,280.0,,15.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,7,,61.0,,61.0,10197.0,260.0,,36.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,9,,56.0,,50.0,10195.0,260.0,,36.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,11,,56.0,,50.0,10198.0,310.0,,31.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,22,,,44.0,10167.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,1,0,,,28.0,10166.0,,50.0,,31.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,1,,,50.0,10167.0,,80.0,,15.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,7,,89.0,,50.0,10165.0,280.0,,51.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,21,,,10184.0,-9999.0,,21.0,,,0.0,0.0,-9999.0,723815-23161-2017
2017,1,9,,33.0,-11.0,10213.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,1,3,,,,6.0,10168.0,250.0,,88.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,4,,94.0,,44.0,10167.0,290.0,,41.0,-9999.0,5.0,-9999.0,723815-23161-2017
2017,1,7,,83.0,,56.0,10147.0,110.0,,21.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,8,,83.0,,56.0,10134.0,100.0,,15.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,9,,72.0,,56.0,10127.0,360.0,,21.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,13,,78.0,,56.0,10117.0,230.0,,15.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,15,,72.0,,56.0,10118.0,210.0,,21.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,16,,72.0,,56.0,10114.0,100.0,,36.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,17,,78.0,,61.0,10119.0,350.0,,31.0,-9999.0,5.0,-9999.0,723815-23161-2017
2017,1,20,,,61.0,10097.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,1,22,,,39.0,10083.0,,,,,,,,723815-23161-2017
2017,1,2,,,33.0,10095.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,1,10,,94.0,,44.0,10071.0,270.0,,57.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,11,,89.0,,44.0,10064.0,260.0,,62.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,13,,83.0,,44.0,10039.0,300.0,,26.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,16,,78.0,,50.0,10030.0,100.0,,21.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,21,,,61.0,,9950.0,,60.0,,31.0,-1.0,-9999.0,723815-23161-2017
2017,1,23,,,72.0,,9949.0,,60.0,,31.0,13.0,-9999.0,723815-23161-2017
2017,1,1,,89.0,,50.0,,,240.0,,88.0,10.0,-9999.0,723815-23161-2017
2017,1,2,,94.0,,44.0,,,250.0,,72.0,-1.0,-9999.0,723815-23161-2017
2017,1,5,,83.0,,33.0,,,270.0,,67.0,-1.0,-9999.0,723815-23161-2017
2017,1,5,,94.0,,28.0,10162.0,280.0,,31.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,7,,78.0,,39.0,10165.0,260.0,,36.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,8,,78.0,,39.0,10165.0,260.0,,21.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,11,,78.0,,50.0,10168.0,210.0,,26.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,13,,72.0,,44.0,10163.0,340.0,,26.0,-9999.0,3.0,-9999.0,723815-23161-2017
2017,1,17,,67.0,,56.0,10171.0,,30.0,,21.0,20.0,-9999.0,723815-23161-2017
2017,1,19,,78.0,,67.0,10167.0,-9999.0,,,5.0,,,723815-23161-2017
2017,1,23,,83.0,,72.0,10108.0,210.0,,21.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,1,,89.0,,78.0,10106.0,260.0,,36.0,-9999.0,8.0,-9999.0,723815-23161-2017
2017,1,3,,83.0,,78.0,10102.0,290.0,,21.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,4,,83.0,,78.0,10093.0,280.0,,21.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,10,,94.0,,56.0,10077.0,250.0,,46.0,-9999.0,3.0,-9999.0,723815-23161-2017
2017,1,11,,78.0,,61.0,10083.0,280.0,,51.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,14,,72.0,,28.0,10092.0,300.0,,62.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,15,,67.0,,33.0,10097.0,280.0,,31.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,16,,72.0,,33.0,10101.0,240.0,,57.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,17,,78.0,,33.0,10103.0,260.0,,62.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,19,,89.0,,22.0,10098.0,230.0,,67.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,21,,61.0,,33.0,-9999.0,250.0,,82.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,22,,67.0,,33.0,10076.0,230.0,,82.0,-9999.0,-9999.0,,723815-23161-2017
2017,1,8,,22.0,-11.0,10207.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,1,23,,,10242.0,-9999.0,,15.0,,,0.0,0.0,-9999.0,723815-23161-2017
2017,1,0,,,10238.0,-9999.0,,21.0,,,0.0,0.0,-9999.0,723815-23161-2017
2017,1,0,,,10273.0,,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,1,6,,39.0,-17.0,10304.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,1,8,,44.0,-39.0,10307.0,,90.0,,15.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,1,20,,,10361.0,-9999.0,,21.0,,,0.0,0.0,-9999.0,723815-23161-2017
2017,1,22,,,10287.0,-9999.0,,21.0,,,0.0,0.0,-9999.0,723815-23161-2017
2017,1,9,,56.0,,-6.0,10216.0,270.0,,36.0,,-9999.0,-9999.0,723815-23161-2017
2017,1,10,,67.0,,-6.0,10214.0,280.0,,57.0,,-9999.0,-9999.0,723815-23161-2017
2017,1,12,,50.0,,-6.0,10214.0,280.0,,57.0,,-9999.0,-9999.0,723815-23161-2017
2017,1,13,,44.0,,-6.0,10212.0,270.0,,41.0,,-9999.0,-9999.0,723815-23161-2017
2017,1,15,,39.0,,-6.0,10218.0,260.0,,46.0,,-9999.0,-9999.0,723815-23161-2017
2017,1,16,,72.0,,-6.0,10223.0,270.0,,41.0,,-9999.0,-9999.0,723815-23161-2017
2017,1,18,,,,0.0,10221.0,300.0,,41.0,,-9999.0,-9999.0,723815-23161-2017
2017,1,21,,,10195.0,,,,,,,-9999.0,,723815-23161-2017
2017,1,22,,,10184.0,-9999.0,,21.0,,,0.0,,,723815-23161-2017
2017,1,23,,,10180.0,,,,,,,-9999.0,,723815-23161-2017
2017,2,0,,,10178.0,,,,,,,-9999.0,,723815-23161-2017
2017,2,18,,,10201.0,,,,,,,,,723815-23161-2017
2017,2,4,,,22.0,10176.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,16,,89.0,,44.0,10174.0,250.0,,15.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,2,17,,,44.0,10172.0,,80.0,,15.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,2,20,,,39.0,10158.0,,90.0,,15.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,2,21,,,50.0,10146.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,22,,,61.0,10141.0,,40.0,,26.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,2,0,,,78.0,10137.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,4,,,61.0,10125.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,21,,,56.0,10118.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,23,,,50.0,10115.0,,,,,,,,723815-23161-2017
2017,2,6,,,56.0,10145.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,7,,,56.0,10141.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,8,,,61.0,10142.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,9,,,61.0,10138.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,10,,,61.0,10137.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,11,,,61.0,10131.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,12,,,72.0,10125.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,13,,,78.0,10121.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,14,,,78.0,10129.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,15,,,50.0,10149.0,-9999.0,,,,,,,723815-23161-2017
2017,2,16,,,56.0,10153.0,-9999.0,,,,,,,723815-23161-2017
2017,2,17,,,56.0,10152.0,-9999.0,,,,,,,723815-23161-2017
2017,2,2,,,83.0,10154.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,3,,,10158.0,,,,,,,,,723815-23161-2017
2017,2,4,,,10159.0,,,,,,,,,723815-23161-2017
2017,2,5,,,10162.0,,,,,,,,,723815-23161-2017
2017,2,6,,,10150.0,,,,,,,,-1.0,723815-23161-2017
2017,2,7,,,10150.0,,,,,,,,,723815-23161-2017
2017,2,9,,,10142.0,,,,,,,,,723815-23161-2017
2017,2,10,,,10142.0,,,,,,,,,723815-23161-2017
2017,2,14,,,89.0,10148.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,15,,,78.0,10158.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,16,,,72.0,10164.0,-9999.0,,,0.0,-9999.0,,,723815-23161-2017
2017,2,17,,,78.0,10171.0,,,,-9999.0,,,,723815-23161-2017
2017,2,3,,,50.0,10176.0,,50.0,,41.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,2,5,,,50.0,10187.0,,40.0,,31.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,2,10,,,56.0,10184.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,12,,,44.0,10187.0,-9999.0,,15.0,,,,,723815-23161-2017
2017,2,14,,,33.0,10201.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,16,,,22.0,10214.0,,50.0,,21.0,-9999.0,-9999.0,,723815-23161-2017
2017,2,19,,,-6.0,10209.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,4,,,10186.0,,,,,,,,,723815-23161-2017
